# Astellar visual asset catalog v1
# hash	name	category
05d84dc1	ProfileFrameEfTex1031015_02	头像框
05d84dc1	ProfileFrameMask1031015	头像框
0605634e	WallPaper0006_1	大厅壁纸
06089ee2	DeckCase2002_Open_L	卡盒
0613a15f	ProfileFrame1030003_L	头像框
065ab0ff	ProfileIcon1010001_L	头像
065b7005	ProfileIcon1010011	头像
0679b1d2	ProfileIcon1012060	头像
069a86a0	ProtectorIcon1072002_2	卡套
069cd336	DeckCase0028_L_reverse	卡盒
06d1c74f	ProfileIcon1012022_L	头像
06d44037	ProfileIcon1010038_L	头像
070db2d9	ProfileFrame1030012	头像框
070e0ca2	DeckCase0016_L_reverse	卡盒
07225f59	WallPaper0132_2	大厅壁纸
072a6570	CoinTossIcon1180020	硬币
07473f90	ProfileIcon1010087	头像
074cd1d1	ProfileIcon1011005_L	头像
0774e0b8	ProtectorIcon1073019	卡套
077f0880	ProfileIcon1010104_L	头像
07c09f45	ProfileFrameCommonEfTex002_r8_	头像框
07c09f45	ProfileFrameCommonEfTex006_r8_	头像框
07c09f45	ProfileFrameCommonEfTex011_r8_	头像框
07c09f45	ProfileFrameMask1032009_01	头像框
07c9f85d	ProfileIcon1010043_L	头像
07d1cb68	ProfileFrame1030002_L	头像框
080d5f15	ProfileIcon1011030_L	头像
0824912b	ProfileIcon1011067	头像
082caa25	DeckCase1010_L	卡盒
08399843	ProtectorIcon1070056	卡套
084cb217	DeckCase2013_L	卡盒
08660c84	ProfileIcon1010120	头像
088628a5	ProfileIcon1013013_L	头像
08931b9c	WallPaper0117_2	大厅壁纸
08a534db	ProfileIcon1011018_L	头像
08ad41e0	ProtectorIcon1070133	卡套
08b73ad6	Mat_041_01_BaseColor_far	决斗场地
08b73ad6	Mat_041_02_BaseColor_far	决斗场地
08b73ad6	Mat_041_03_BaseColor_far	决斗场地
08b73ad6	Mat_041_05_BaseColor_far	决斗场地
08eb7bc9	ProtectorIcon1071001	卡套
091b1777	ProfileFrameCommonEfTex006_r8_	头像框
091b1777	ProfileFrameMask1032001	头像框
093da53d	ProfileIcon1010025_L	头像
09639e06	DeckCase0027	卡盒
09679650	ProtectorIcon1073004	卡套
09755bff	DeckCase2030_L_reverse	卡盒
09a76099	DeckCase2004_Open_L	卡盒
09b4278b	WallPaper0023_1	大厅壁纸
09b5a734	CoinTossIcon1180005	硬币
09b88cb1	ProfileIcon1011063_L	头像
0a0bbfe8	ProtectorIcon1070088	卡套
0a0e6e50	ProfileIcon1010001_L	头像
0a229565	ProtectorIcon1070023	卡套
0a44ec39	WallPaper0057_3	大厅壁纸
0a464ebe	ProfileFrame1030008_L	头像框
0a6c2689	DeckCase0022_L	卡盒
0a8b47dc	ProfileIcon1011047_L	头像
0ab64cc6	ProtectorIcon1070146	卡套
0abc3109	ProfileIcon1010069_L	头像
0af813dc	ProfileFrame1031025	头像框
0b26f7ad	WallPaper0099_2	大厅壁纸
0b4e30dd	ProfileIcon1010056_L	头像
0b5557d9	ProfileIcon1012047	头像
0b77960e	ProfileIcon1010036	头像
0b842489	ProfileFrame1030009_L	头像框
0b86feb0	WallPaper0049_2	大厅壁纸
0ba035bd	DeckCase0022_L_reverse	卡盒
0baaa4d0	WallPaper0071_2	大厅壁纸
0bc5476d	ProfileIcon1012075_L	头像
0c26a882	ProtectorIcon1070017	卡套
0c374fbe	WallPaper0098_1	大厅壁纸
0c69f88a	ProfileIcon1010049_L	头像
0c6e01ea	ProfileFrameEfTex1031019_01	头像框
0c6e01ea	ProfileFrameMask1031019	头像框
0c86dea2	WallPaper0128_2	大厅壁纸
0c9746a3	WallPaper0048_1	大厅壁纸
0ca32c76	ProfileFrame1033002	头像框
0cb19929	ProfileIcon1010086_L	头像
0cb27121	ProtectorIcon1070172	卡套
0cbb1cc3	WallPaper0070_1	大厅壁纸
0cbc2d71	CoinTossIcon1180019	硬币
0cbdb8ad	ProfileIcon1011019	头像
0ccdd7d1	ProfileIcon1012002	头像
0cef1606	ProfileIcon1010073	头像
0cf44b08	ProtectorIcon1071040	卡套
0d27e726	DeckCase0013_Open_L	卡盒
0d3d7026	ProfileIcon1010062_L	头像
0d5823f7	DeckCase0001	卡盒
0d5823f7	DeckCase0001_Open_L	卡盒
0d7440e0	ProfileIcon1010032_L	头像
0d7d760a	ProfileFrame1030043	头像框
0d95d7c5	ProfileFrame1031021	头像框
0db60796	ProfileIcon1012041_L	头像
0de9209c	DeckCase2003	卡盒
0e3da5a4	ProtectorIcon1070062	卡套
0e478b8d	ProfileIcon1010016_L	头像
0e47a777	DeckCase1008	卡盒
0e76d36e	ProfileFrameCommonClTex002	头像框
0e76d36e	ProfileFrameCommonDist001	头像框
0e76d36e	ProfileFrameMask1032002	头像框
0e7e1fee	ProfileIcon1011004_L	头像
0ea025ee	DeckCase2022_L	卡盒
0ea59f98	WallPaper0022_2	大厅壁纸
0ea97c07	ProtectorIcon1070107	卡套
0ec2a201	ProfileIcon1011050_L	头像
0ed8632d	CoinTossIcon1180001	硬币
0eef462e	ProtectorIcon1071035	卡套
0f19bb58	DeckCase2017_L	卡盒
0f79a36a	DeckCase1014_L	卡盒
0f82a38f	WallPaper0116_1	大厅壁纸
0fbc1123	ProfileIcon1011022	头像
0fcc7e5f	ProfileIcon1012039	头像
0fdd31f7	DeckCase2030_L	卡盒
0feebf88	ProfileIcon1010048	头像
10002636	ProfileFrameCommonDist001	头像框
10002636	ProfileFrameCommonEfTex011_r8_	头像框
10002636	ProfileFrameCommonEfTex019_r8	头像框
10002636	ProfileFrameEfTex1032011_01	头像框
10002636	ProfileFrameMask1032011	头像框
10197378	DeckCase1008_L	卡盒
102b7203	ProfileFrame1030035_L	头像框
103c603d	ProfileIcon1010126_L	头像
10551420	DeckCase0025_L_reverse	卡盒
10776fb8	DeckCase2018_L_reverse	卡盒
108b1152	ProfileIcon1012009_L	头像
109db270	ProtectorIcon1073012	卡套
10ae9675	CoinTossIcon1180015	硬币
10bdb22a	ProfileIcon1010105_L	头像
10eb2022	DeckCase2020_L	卡盒
110c9bcf	ProfileIcon1012009	头像
11115fe9	ProtectorIcon1071017	卡套
1119d842	ProfileIcon1010023_L	头像
112e5a18	ProfileIcon1010078	头像
114b456f	WallPaper0080_2	大厅壁纸
115765c0	ProtectorIcon1070125	卡套
117cf4b3	ProfileIcon1011012	头像
1181424a	ProfileIcon1010085_L	头像
1196a938	ProfileIcon1012072_L	头像
11c3bc63	ProtectorIcon1070040	卡套
11ce61e9	ProfileIcon1010119_L	头像
11e91834	ProfileFrame1030034_L	头像框
11eb4c72	WallPaper0050_2	大厅壁纸
12098c3e	ProfileFrame1032008_L	头像框
120d3241	ProfileIcon1012032	头像
12204bd9	ProfileIcon1013010_L	头像
122ff396	ProfileIcon1010043	头像
125ab78a	ProfileIcon1011045_L	头像
126dcc5a	ProfileFrame1030036_L	头像框
127d5d3d	ProfileIcon1011029	头像
12a56255	ProfileIcon1012056_L	头像
12d2f33e	WallPaper0136_2	大厅壁纸
12e2ff64	DeckCase2011_L_reverse	卡盒
1310e1b7	WallPaper0128_3	大厅壁纸
132f9bc2	DeckCase0030_Open_L	卡盒
134c68e6	ProtectorIcon1070150	卡套
135ecfcb	DeckCase0008_L	卡盒
136e70d0	DeckCase2016_L_reverse	卡盒
138e7947	ProfileIcon1010121_L	头像
13afa66d	ProfileFrame1030037_L	头像框
13cbe609	ProfileFrame1032009_L	头像框
13d8b145	ProtectorIcon1070035	卡套
13e08ff9	DeckCase1015_L	卡盒
13f5cf29	WallPaper0002_1	大厅壁纸
14272345	DeckCase0020_L	卡盒
1429f771	ProfileIcon1011071_L	头像
142c968f	DeckCase1001_L_reverse	卡盒
14919c62	Mat_035_01_BaseColor_far	决斗场地
14919c62	Mat_035_02_BaseColor_far	决斗场地
14919c62	Mat_035_03_BaseColor	决斗场地
14919c62	Mat_035_04_BaseColor	决斗场地
14919c62	Mat_035_05_BaseColor	决斗场地
14a60eb1	ProfileFrame1030033_L	头像框
14ab3c0b	ProfileIcon1010090	头像
14e4773a	WallPaper0003_2	大厅壁纸
1502360f	DeckCase2003_Open_L	卡盒
150a3fd3	WallPaper0025_3	大厅壁纸
15485501	ProtectorIcon1070164	卡套
15646486	ProfileFrame1030032_L	头像框
157530ab	ProfileFrameCommonEfTex007_r8_	头像框
157530ab	ProfileFrameCommonEfTex013_r8_	头像框
157530ab	ProfileFrameMask1031009	头像框
1588de04	DeckCase0012	卡盒
1595b249	ProfileIcon1012077	头像
15aae6d0	DeckCase2028_L_reverse	卡盒
15ab3013	DeckCase1003_Open_L	卡盒
15b7739e	ProfileIcon1010006	头像
15c8a797	ProfileIcon1010092_L	头像
15df4ce5	ProfileIcon1012065_L	头像
1621b0a7	Mat_011_01_BaseColor_near	决斗场地
1621b0a7	Mat_011_02_BaseColor_near	决斗场地
1621b0a7	Mat_011_03_BaseColor_near	决斗场地
1621b0a7	Mat_011_04_BaseColor	决斗场地
1621b0a7	Mat_011_05_BaseColor_near	决斗场地
1621b0a7	Mat_011_06_BaseColor_near	决斗场地
165afd7c	WallPaper0081_1	大厅壁纸
1669ae04	ProfileIcon1013007_L	头像
166f897f	ProtectorIcon1070101_2	卡套
1698996d	ProfileIcon1010028_L	头像
16a6e914	ProfileIcon1010110	头像
16c58197	ProtectorIcon1070068_Focus	卡套
16d6ae01	WallPaper0069_1	大厅壁纸
16e0b0e8	ProfileFrame1030030_L	头像框
16e474bb	ProfileIcon1011057	头像
16ec8788	ProfileIcon1012041_L	头像
16f89c6f	DeckCase2008_Open_L	卡盒
16faf461	WallPaper0051_1	大厅壁纸
1715620e	ProtectorIcon1071023	卡套
1722dadf	ProfileFrame1030031_L	头像框
17535827	ProtectorIcon1070111	卡套
176a98b9	ProfileIcon1010017_L	头像
17af1c7d	DeckCase2027_Open_L	卡盒
17b2a0e1	Mat_022_01_BaseColor_far	决斗场地
17b2a0e1	Mat_022_02_BaseColor_far	决斗场地
17b2a0e1	Mat_022_03_BaseColor_far	决斗场地
17b2a0e1	Mat_022_04_BaseColor_far	决斗场地
17c78184	ProtectorIcon1070074	卡套
17c79c9a	ProfileIcon1010136_L	头像
17e1ef09	ProfileIcon1012034_L	头像
1800e206	DeckCase2021_Open_L	卡盒
1818dae8	ProfileIcon1012027_L	头像
18415e72	Mat_022_01_BaseColor_near	决斗场地
18415e72	Mat_022_02_BaseColor_near	决斗场地
18415e72	Mat_022_03_BaseColor_near	决斗场地
18415e72	Mat_022_04_BaseColor_near	决斗场地
18415e72	Mat_022_05_BaseColor_near	决斗场地
1897a134	ProfileFrame1032006_L	头像框
189b9595	ProfileIcon1010021	头像
18b95442	ProfileIcon1012050	头像
18cf7687	ProfileIcon1011019_L	头像
18f3e150	ProfileFrame1030038_L	头像框
1918da5e	CoinTossIcon1180019	硬币
191e4b84	WallPaper2003_1	大厅壁纸
19318b67	ProfileFrame1030039_L	头像框
193d7753	ProfileIcon1011026_L	头像
194bb0a4	WallPaper0074_1	大厅壁纸
194dcd1b	DeckCase0016	卡盒
1955cb03	ProfileFrame1032007_L	头像框
197b4781	ProfileFrame1030006	头像框
19b600e3	ProfileIcon1013005_L	头像
19bdd8e7	Mat_008_01_BaseColor_near	决斗场地
19bdd8e7	Mat_008_02_BaseColor_near	决斗场地
19bdd8e7	Mat_008_04_BaseColor_near	决斗场地
19bdd8e7	Mat_008_05_BaseColor_near	决斗场地
19d4f76c	ProtectorIcon1070069	卡套
19d5ad6d	ProtectorIcon1072009_1	卡套
1a04ce68	DeckCase1005_Open_L	卡盒
1a0f42dd	DeckCase2002_L_reverse	卡盒
1a36a9ef	ProfileIcon1012078_L	头像
1a655eb5	DeckCase0023_L	卡盒
1a720fe8	WallPaper0112_1	大厅壁纸
1a7e189b	ProfileIcon1010040_L	头像
1aa1d41a	DeckCase0004_L	卡盒
1ad11f6d	ProfileFrame1032005_L	头像框
1af56f2b	ProfileIcon1012063_L	头像
1b02a1a3	DeckCase0021_L	卡盒
1b089256	DeckCase1004	卡盒
1b13755a	ProfileFrame1032004_L	头像框
1b2b1185	ProfileIcon1012003_L	头像
1b5533ff	WallPaper0026_2	大厅壁纸
1b5ba0e4	ProfileIcon1010145_L	头像
1b7c9402	CoinTossIcon1180001	硬币
1b8a0f1f	ProfileIcon1010137	头像
1baeb899	ProfileFrameCommonEfTex001_r8_	头像框
1baeb899	ProfileFrameCommonEfTex002_r8_	头像框
1baeb899	ProfileFrameCommonEfTex003_r8_	头像框
1baeb899	ProfileFrameCommonEfTex004_r8_	头像框
1baeb899	ProfileFrameEfTex1031001_01_r8_	头像框
1baeb899	ProfileFrameMask1031001	头像框
1bc892b0	ProfileIcon1011070	头像
1bcecc45	DeckCase2004_Open_L	卡盒
1bea5367	ProfileIcon1013001	头像
1c0d5860	ProfileIcon1010074_L	头像
1c11501b	CoinTossIcon1180005	硬币
1c448bec	WallPaper0027_1	大厅壁纸
1c44cd5b	CoinTossIcon_Tails	硬币
1c5012b8	ProfileIcon1011035	头像
1c513f35	ProfileIcon1012030_L	头像
1c627d54	Mat_019_01_BaseColor	决斗场地
1c627d54	Mat_019_02_BaseColor_far	决斗场地
1c627d54	Mat_019_02_BaseColor_near	决斗场地
1c862fd0	ProfileIcon1012057_L	头像
1cc37c80	ProfileFrameCommonDist001	头像框
1cc37c80	ProfileFrameMask1031005	头像框
1cc50d1f	DeckCase1014_L	卡盒
1cfb2d3f	DeckCase0011_L_reverse	卡盒
1d0b77ad	DeckCase0009_L_reverse	卡盒
1d3057fa	DeckCase0027_L	卡盒
1d4e290c	Mat_003_01_BaseColor_far	决斗场地
1d4e290c	Mat_003_01_BaseColor_near	决斗场地
1d4e290c	Mat_003_02_BaseColor_far	决斗场地
1d4e290c	Mat_003_03_BaseColor_far	决斗场地
1d4e290c	Mat_003_05_BaseColor_far	决斗场地
1d5593f3	DeckCase1007_Open_L	卡盒
1d63b7fb	WallPaper0113_2	大厅壁纸
1d742e04	ProfileIcon1012068_L	头像
1d7a2427	ProfileIcon1010147_L	头像
1d81b16f	ProfileIcon1010090_L	头像
1dc77381	DeckCase2032	卡盒
1dcbc7ad	ProtectorIcon1070028	卡套
1dd7e5ab	DeckCase0019_Open_L	卡盒
1dd8b7b1	ProfileFrame1032001_L	头像框
1de2ed20	ProtectorIcon1070083	卡套
1e0ff397	WallPaper2002_2	大厅壁纸
1e1268c5	DeckCase0007_L_reverse	卡盒
1e168398	ProfileFrame1030002	头像框
1e5a08b7	WallPaper0075_2	大厅壁纸
1e5c63df	ProfileFrame1032003_L	头像框
1e68a740	ProfileIcon1010098_L	头像
1e6d158f	Mat_014_01_BaseColor_far	决斗场地
1e6d158f	Mat_014_02_BaseColor_far	决斗场地
1e6d158f	Mat_014_03_BaseColor_far	决斗场地
1e6d158f	Mat_014_04_BaseColor	决斗场地
1e6d158f	Mat_014_05_BaseColor	决斗场地
1e6d158f	Mat_014_06_BaseColor	决斗场地
1ed5103a	ProfileFrame1030001	头像框
1f03159d	ProfileIcon1010064	头像
1f04f4e7	ShopBGBase05	大厅背景
1f21d44a	ProfileIcon1012015	头像
1f235961	DeckCase0006_Open_L	卡盒
1f3cf19e	DeckCase1009_L	卡盒
1f441328	ProtectorIcon1070138	卡套
1f4e37a8	ProfileIcon1011012_L	头像
1f545720	ProfileIcon1010118_L	头像
1f62f458	ProfileIcon1012014_L	头像
1f6ef9eb	CoinTossIcon_Tails	硬币
1f72cd59	ProtectorIcon1070070_2	卡套
1f74d80a	ProtectorIcon1072003_1	卡套
1f9e09e8	ProfileFrame1032002_L	头像框
1fcea2c4	DeckCase2021_L	卡盒
2009b732	Mat_034_01_BaseColor_near	决斗场地
2009b732	Mat_034_02_BaseColor_near	决斗场地
2009b732	Mat_034_03_BaseColor_near	决斗场地
2009b732	Mat_034_04_BaseColor_near	决斗场地
202cf905	ProtectorIcon1070019	卡套
2030062f	DeckCase2011_Open_L	卡盒
20530687	DeckCase1010_L	卡盒
2067a67e	WallPaper0041_2	大厅壁纸
20747614	ProfileFrame1031013_L	头像框
208536af	DeckCase0031	卡盒
20c7af63	WallPaper0091_2	大厅壁纸
20cd48a7	DeckCase1011_L_reverse	卡盒
20ebd662	ProfileIcon1012075_L	头像
20f8ce94	ProfileIcon1011040_L	头像
20fc3d10	ProfileIcon1010082_L	头像
216eee09	DeckCase2028	卡盒
21b61c23	ProfileFrame1031012_L	头像框
21c0cd70	ProfileIcon1010102_L	头像
21d1d998	ProfileIcon1011055	头像
21d5401f	ProfileFrame1031015	头像框
2232c84d	ProfileFrame1031010_L	头像框
223635a8	DeckCase2010_Open_L	卡盒
2240a5ea	DeckCase2026_L_reverse	卡盒
2249a088	ProfileIcon1010019_L	头像
22715147	WallPaper0076_1_2	大厅壁纸
22792525	WallPaper0013_1	大厅壁纸
2282debd	ProfileIcon1010004	头像
2292edb9	ProfileIcon1010129	头像
229e1923	ProfileIcon1010123_L	头像
22a01f6a	ProfileIcon1012075	头像
22a32d80	ProtectorIcon1070109	卡套
22dcbe81	CoinTossIcon1180018	硬币
22f3061d	ProfileIcon1010126_L	头像
2330d6ec	ProfileIcon1012005_L	头像
2338d658	DeckCase0014_L	卡盒
2358a95c	DeckCase2025_L	卡盒
239e9128	ProfileIcon1010092	头像
23bba15c	ProfileIcon1010026_L	头像
23cd929b	ProfileFrame1032009	头像框
23d81d0f	ProfileIcon1012051_L	头像
23f0a27a	ProfileFrame1031011_L	头像框
23fc5cf7	DeckCase0033_L	卡盒
240f8835	DeckCase2015	卡盒
2433c9c4	ProtectorIcon1070058	卡套
244fa121	WallPaper0126_1	大厅壁纸
246ddf17	DeckCase0010_L	卡盒
24a233bf	ProfileIcon1012062_L	头像
24b5d8cd	ProfileIcon1010095_L	头像
24dd930b	DeckCase0013_Open_L	卡盒
24ed59d8	ProfileIcon1010117_L	头像
24f90aa6	ProfileFrame1031015_L	头像框
251a5eb5	ProfileIcon1010041	头像
251f580c	ProfileIcon1010128_L	头像
25389f62	ProfileIcon1012030	头像
253b6091	ProfileFrame1031014_L	头像框
25439617	ProfileIcon1012031_L	头像
25689d36	WallPaper0012_2	大厅壁纸
258928ad	ProfileIcon1010115_L	头像
25bf8bd5	ProfileIcon1012019_L	头像
25c8e1a7	ProfileIcon1010012_L	头像
25d61281	Mat_025_01_BaseColor_near	决斗场地
25d61281	Mat_025_02_BaseColor_near	决斗场地
25d61281	Mat_025_03_BaseColor_near	决斗场地
25d61281	Mat_025_04_BaseColor	决斗场地
25d61281	Mat_025_05_BaseColor_near	决斗场地
2601ee6f	ProtectorIcon1070086	卡套
26495990	ProfileIcon1011010	头像
26a97a59	DeckCase2022_L_reverse	卡盒
26ab5999	DeckCase1012_Open_L	卡盒
26b6b217	DeckCase0007_Open_L	卡盒
26b88406	ProfileFrame1031011	头像框
26bae3c0	ProfileIcon1010131_L	头像
26bc1d41	ProtectorIcon1070148	卡套
26bfb4ff	ProfileFrame1031016_L	头像框
2725f5ed	DeckCase2025_L_reverse	卡盒
275a440d	WallPaper0078_1	大厅壁纸
275ccab8	DeckCase0029_Open_L	卡盒
27761e6d	WallPaper0040_1	大厅壁纸
277ddec8	ProfileFrame1031017_L	头像框
2791f8d2	ProfileIcon1012046_L	头像
2794aa3b	DeckCase0025_L	卡盒
27d61770	WallPaper0090_1	大厅壁纸
27e13205	DeckCase0028_Open_L	卡盒
27f8f17c	ProtectorIcon1075005	卡套
28147969	ProfileIcon1012017	头像
281af317	DeckCase0001_L_reverse	卡盒
2836b8be	ProfileIcon1010066	头像
283bb20a	ProtectorIcon1070030	卡套
28571635	ProfileIcon1012066_L	头像
28630c34	ProfileFrame1031019	头像框
2867a3d3	DeckCase1015_Open_L	卡盒
286eb1b2	ProfileFrame1030001	头像框
28ae21a8	ProfileFrameCommonDist001	头像框
28ae21a8	ProfileFrameCommonEfTex008_r8_	头像框
28ae21a8	ProfileFrameEfTex1033002_01	头像框
28ae21a8	ProfileFrameEfTex1033002_02	头像框
28ae21a8	ProfileFrameMask1033002_01	头像框
28af6ba9	ProtectorIcon1070155	卡套
28b128dd	DeckCase0024_L	卡盒
28c75aa8	WallPaper0065_1	大厅壁纸
28ca9b2a	DeckCase2011	卡盒
28dc6185	ProfileIcon1010045_L	头像
2906d091	Mat_013_01_BaseColor_far	决斗场地
2906d091	Mat_013_02_BaseColor_far	决斗场地
2906d091	Mat_013_03_BaseColor_far	决斗场地
2906d091	Mat_013_04_BaseColor_far	决斗场地
2906d091	Mat_013_07_BaseColor_far	决斗场地
2921438c	DeckCase0008	卡盒
294af680	CoinTossIcon1180021	硬币
2965a5b2	ProfileIcon1012020_L	头像
296a15e7	ShopBGBase02	大厅背景
2998da1b	ProfileFrameCommonDist001	头像框
2998da1b	ProfileFrameCommonEfTex007_r8_	头像框
2998da1b	ProfileFrameCommonEfTexLine004_r8	头像框
2998da1b	ProfileFrameEfTex1031021_01	头像框
2998da1b	ProfileFrameEfTex1031021_02	头像框
2998da1b	ProfileFrameMask1031021	头像框
29a517e1	ProfileIcon1012059_L	头像
29f9d9fa	ProfileIcon1010140_L	头像
2a116941	DeckCase0014_Open_L	卡盒
2a20bf2c	ProtectorIcon1070045	卡套
2a566edf	ProfileIcon1012004_L	头像
2a60cda7	ProfileIcon1010108_L	头像
2a7bdeb0	ProfileFrame1032005	头像框
2ab4668f	ProtectorIcon1070120	卡套
2ac7cd89	DeckCase0018_L	卡盒
2ad9d9f3	WallPaper0037_2	大厅壁纸
2af25ca6	ProtectorIcon1071012	卡套
2b23f9f8	ProtectorIcon1072004_1	卡套
2b4d2503	ProfileFrame1030026	头像框
2b5c3dc7	ProfileIcon1010088_L	头像
2b65bf9b	ProfileIcon1011037	头像
2b6af2aa	CoinTossIcon1180014	硬币
2b7eb13f	ProtectorIcon1073017	卡套
2b9f0e4d	ProfileIcon1011023_L	头像
2bb6fc54	Mat_016_01_BaseColor_near	决斗场地
2bb6fc54	Mat_016_02_BaseColor	决斗场地
2bb6fc54	mat_016_03_basecolor	决斗场地
2bd5624c	DeckCase0033_L_reverse	卡盒
2bfee5e4	WallPaper0103_1	大厅壁纸
2c0736b3	CoinTossIcon1180010	硬币
2c075b7d	ProfileIcon1010140_L	头像
2c1e4f62	ProfileIcon1011028_L	头像
2c20e11a	ProfileFrame1030022	头像框
2c2199f5	ProfileFrame1031018_L	头像框
2c2482cb	ProtectorIcon1070071	卡套
2c7d2bba	DeckCase2024_L	卡盒
2c8d50ef	ProfileIcon1012069	头像
2caf9138	ProfileIcon1010018	头像
2cb05b68	ProtectorIcon1070114	卡套
2cbcfa53	ProfileFrame1030001	头像框
2cbfa23c	ProfileIcon1010135	头像
2cd90843	DeckCase1003_L_reverse	卡盒
2cdffe44	ProfileIcon1013003	头像
2cef5df7	WallPaper0102_2	大厅壁纸
2cf66141	ProtectorIcon1071026	卡套
2d161aa9	ProfileFrame1032001	头像框
2d2c406f	ProfileIcon1012037_L	头像
2d5587f7	DeckCase1004_L_reverse	卡盒
2d99cbd3	DeckCase2016_Open_L	卡盒
2dc861e0	WallPaper0036_1	大厅壁纸
2de3f3c2	ProfileFrame1031019_L	头像框
2dec4eb6	ProfileIcon1011017_L	头像
2e1f8b02	ProfileIcon1012013_L	头像
2e2456ce	ProfileIcon1012052_L	头像
2e3f8fed	ProtectorIcon1070004	卡套
2e6959e7	Mat_007_01_BaseColor_near	决斗场地
2e6959e7	Mat_007_02_BaseColor_near	决斗场地
2e6959e7	Mat_007_03_BaseColor_near	决斗场地
2e6959e7	Mat_007_04_BaseColor	决斗场地
2e6959e7	Mat_007_05_BaseColor	决斗场地
2eab564e	ProtectorIcon1070161	卡套
2eaf217e	ProfileIcon1010071_L	头像
2eee9cf5	DeckCase2012_L_reverse	卡盒
2ef51e02	ProfileFrameCommonDist001	头像框
2ef51e02	ProfileFrameCommonEfTex007_r8_	头像框
2ef51e02	ProfileFrameCommonEfTex018_r8	头像框
2ef51e02	ProfileFrameCommonEfTex019_r8	头像框
2ef51e02	ProfileFrameMask1031025	头像框
2efcfc65	DeckCase2016_Open_L	卡盒
2f023368	ProfileIcon1012068_L	头像
2f23c871	ProfileIcon1010095_L	头像
2f768461	DeckCase1011_L	卡盒
2f8cf961	ProfileIcon1012052	头像
2fae38b6	ProfileIcon1010023	头像
2fd6e2bb	WallPaper0064_2	大厅壁纸
2ffc961d	ProfileIcon1011049	头像
303ae706	ProfileIcon1011069_L	头像
3042c6d7	DeckCase0012_L_reverse	卡盒
304533a0	Mat_008_01_BaseColor_far	决斗场地
304533a0	Mat_008_02_BaseColor_far	决斗场地
304533a0	Mat_008_04_BaseColor_far	决斗场地
304533a0	Mat_008_05_BaseColor_far	决斗场地
307292b3	ProfileIcon1010085	头像
308767a3	ProfileFrame1031020_L	头像框
30983151	WallPaper0016_2	大厅壁纸
30e44f98	DeckCase0018_L_reverse	卡盒
30e45142	DeckCase2022_Open_L	卡盒
31113afa	DeckCase2024_L	卡盒
311eb25a	ProfileIcon1013008	头像
313d81ad	DeckCase1013_L	卡盒
3140bd14	DeckCase2019	卡盒
31450d94	ProfileFrame1031021_L	头像框
314b803b	ProfileIcon1011031_L	头像
